Cistern_Size,RO_Ratio,RO_E,C_Score,S_Score,R_Score,Total_Score
6000,2,2710,95.7999,95.5967,35.6662,75.6876
6000,3,3370,95.9156,95.7214,48.9809,80.20596666666665
6000,4,4900,96.0233,95.8523,50.2101,80.69523333333333
8000,2,2710,95.8246,95.6182,38.1594,76.53406666666666
8000,3,3370,95.949,95.7524,51.3681,81.02316666666665
8000,4,4900,96.0541,95.8802,52.4367,81.457
10000,2,2710,95.8594,95.649,41.0946,77.53433333333334
10000,3,3370,95.9717,95.7643,54.604,82.11333333333333
10000,4,4900,96.0903,95.9123,55.324,82.4422
12000,2,2710,95.8977,95.6798,45.0588,78.87876666666666
12000,3,3370,95.9976,95.7833,57.7873,83.1894
12000,4,4900,96.1292,95.9451,59.0343,83.70286666666667
14000,2,2710,95.9265,95.7017,47.7211,79.7831
14000,3,3370,96.024,95.8042,60.3892,84.07246666666666
14000,4,4900,96.1544,95.9666,61.152,84.42433333333334
16000,2,2710,95.9479,95.7234,49.337,80.3361
16000,3,3370,96.0433,95.8233,62.0867,84.65109999999999
16000,4,4900,96.174,95.9846,63.1709,85.10983333333333
18000,2,2710,95.9568,95.73,49.9413,80.5427
18000,3,3370,96.0539,95.8303,63.2335,85.03923333333333
18000,4,4900,96.1952,95.9989,65.5143,85.9028
20000,2,2710,95.9629,95.7342,50.372,80.6897
20000,3,3370,96.0661,95.8396,64.4794,85.46170000000001
20000,4,4900,96.1894,95.9889,65.3648,85.8477
